date,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Response Variable
1/31/2000,2.53,595140,285,62.75,-0.241889,109.2,93.2,78.7,458.7,295.2,477,119,19.31032,1394.46,7.4,115.2332,24.95,27.6,1187
2/29/2000,2.85,588665,280,37.875,-0.23214,118,97.4,87.2,488.5,326.5,497,124.9,20.22921,1366.42,-11.2,116.6821,23.37,30.4,1149.1
3/31/2000,2.27,579454,266,44,-0.126672,141.2,115.3,99,588.3,395.4,586.4,149.5,19.65946,1498.58,-47.5,116.673,24.11,26.9,1268.3
5/31/2000,2.43,594896,280,59.25,-0.032955,154.8,129.6,98,613.3,440.6,606.1,168,23.82197,1420.6,-40,119.9301,23.65,29,1124.9
6/30/2000,2.46,589559,281,23.938,-0.024195,151.4,128.4,94.7,606.7,420,605.8,161.1,25.80684,1454.6,-33.1,118.7033,19.54,32.5,1194.5
7/31/2000,2.25,584640,298,18.188,-0.176974,150.2,127.7,95,574.7,388.6,589.8,161.6,23.20809,1430.83,-25.7,119.0338,20.74,27.4,1225.5
8/31/2000,2.28,582759,312,18,-0.253747,152.9,128,96.4,601.8,377.7,609.5,166.2,22.49129,1517.68,-43.8,119.8199,16.84,33.1,1244.6
10/31/2000,2.31,582454,301,25,-0.215154,164.7,132.7,99.5,761.8,419.7,718.5,182,23.52107,1429.4,-16.3,123.0204,23.63,32.7,1456.3
11/30/2000,2.56,597282,356,20.5,-0.194671,181.2,144.3,102.4,927,436.1,817.9,200.4,25.73055,1314.95,-14.5,123.97,29.65,33.8,1646.1
1/31/2001,2.61,596072,362,-55.875,-0.238144,163.4,116.4,83.9,750,402.9,718.2,175.1,33.22178,1366.01,54.2,122.8517,22.02,28.7,1636
2/28/2001,2.62,601086,386,-43.75,-0.307747,165.1,116.7,81.8,693.2,406.9,682.6,176.9,23.69061,1239.94,50.6,123.541,28.35,27.4,1458
4/30/2001,2.49,603250,406,-46.375,-0.315512,151.7,109,83.2,753.3,373.9,685.1,166.9,21.5318,1249.46,106.2,126.5339,25.48,28.5,1429.3
5/31/2001,2.4,632094,405,-22,-0.446364,143.7,104.8,77.7,697.2,364.2,665.6,156.5,22.69671,1255.82,119.3,126.3929,22.64,28.4,1506.2
7/31/2001,2.35,630973,388,-10,-0.54264,141.8,101.8,78.5,757.5,402.1,708.5,154,23.3959,1211.23,125.7,127.6702,21.62,26.4,1679.5
8/31/2001,2.33,625160,402,-18.75,-0.461906,142.8,100.5,78.9,732.3,404.9,717.3,155.6,21.60826,1133.58,120.3,125.5711,24.92,27.2,1842.6
10/31/2001,2.59,649682,483,-29,-0.34121,185.9,121.5,90.5,887.6,550.1,871,200.6,25.71149,1059.78,180.9,126.7673,33.56,21.2,2161.8
11/30/2001,2.75,648787,465,-5.812,-0.352369,162.7,105.4,79.4,761,446.2,761.7,180,24.28777,1139.45,191.1,127.2869,23.84,19.4,1779.5
12/31/2001,2.7,662945,421,6.125,-0.254217,163.6,99.5,82.4,691.2,440.9,736.3,178.1,19.98292,1148.08,202.5,127.364,23.8,19.8,1689.3
1/31/2002,2.93,657669,414,15,-0.445164,160.5,93.5,75.3,636.8,433.9,705.2,173,20.05767,1130.2,187.4,128.9497,21.09,19.5,1755.6
2/28/2002,2.87,658103,398,16,-0.469956,166.6,88.3,75.8,662.1,460.6,731.5,180.9,20.11144,1106.73,181.6,129.6882,21.59,21.7,1817.1
4/30/2002,3.25,663457,414,17,-0.594338,183.9,93.4,83.6,584.4,392.6,626.2,190.8,19.25236,1076.92,186.3,128.5672,21.91,27.3,1456.6
5/31/2002,3,697225,378,14.625,-0.649155,137.1,83,84.4,630.9,408.2,628.9,178.2,15.01696,1067.14,184.8,127.0078,19.98,25.3,1519.8
7/31/2002,3.41,680546,390,9.375,-0.381271,184.3,120.9,111.5,874.1,660.6,885.8,237.3,22.87013,911.62,222.3,123.8086,32.03,27,1886.4
9/30/2002,3.38,681578,409,4,-0.265673,206.9,121.2,119.4,1045.7,686.6,1000.9,239.9,26.51991,815.28,190.9,126.1598,39.69,30.4,1888.6
10/31/2002,3.36,692547,409,-6.375,-0.321283,230.7,117.6,122.8,1011.6,681.7,1003.5,253,27.71875,885.76,222,127.067,31.14,27.2,1791.5
12/31/2002,3.27,733136,409,14,-0.362918,167.9,92.5,105.1,878.5,588.7,860.1,187.3,23.99553,879.82,221.4,125.1346,28.62,31.2,1564.7
1/31/2003,3.53,714316,413,11,-0.460619,150.7,80.6,95,803.9,538.1,781.6,169.1,23.16789,855.7,227.1,123.5893,31.17,33.5,1362.5
2/28/2003,3.79,723222,436,8,-0.465222,148.2,78.8,94.5,777.2,564.2,800,165.8,20.03791,841.15,218,123.4354,29.63,36.6,1361.3
3/31/2003,3.75,726250,436,2.875,-0.496242,151.3,76.5,79.4,706.8,489.7,730.3,160.9,19.46268,848.18,231.2,122.9623,29.15,31,1186.2
4/30/2003,3.7,747460,444,5,-0.677932,121.5,65.8,69.1,601,403.5,613.3,133.7,17.71132,916.92,235.2,121.9868,21.21,25.8,957.8
6/30/2003,3.79,745266,429,-10.375,-0.67123,114.5,60.3,67.3,592.6,384.2,588.4,123.3,11.14622,974.5,221.1,117.3739,19.52,30.2,882.6
7/31/2003,3.81,741559,398,10.438,-0.670438,107.1,67.7,71.7,534.2,341,525.8,118.7,8.36062,990.31,266.4,118.5844,19.49,30.5,873.6
9/30/2003,3.96,742314,387,15,-0.622139,101.2,64,69.3,530,346.1,516.8,113.2,8.57951,995.97,247.7,118.5507,22.72,29.2,834.6
10/31/2003,4.15,748784,363,15.938,-0.689087,70.9,47,59.9,413.3,284.1,444.2,102.7,6.97259,1050.71,247.3,116.2083,16.1,29.1,721.6
3/31/2004,4.34,761743,340,11,-0.806582,69.4,47.3,57.3,394.9,224.1,406.5,96.5,3.66974,1126.21,226.1,114.2572,16.74,35.8,702.4
4/30/2004,4.4,774058,324,18,-0.748073,67.5,45.4,54.2,342,197.4,361.2,91.2,4.07108,1107.3,218.8,115.067,17.19,37.4,628
5/31/2004,4.32,771892,337,31.5,-0.719011,73.6,51.1,58.7,378.7,231.9,398,98.1,4.57635,1120.68,211.3,116.9377,15.5,39.9,680.5
6/30/2004,4.39,780361,348,58,-0.715549,75.6,51.8,59.6,362.7,223.9,380.6,99.4,5.15108,1140.84,190.2,115.8277,14.34,37,642.2
8/31/2004,4.75,776216,352,37,-0.706617,72.5,50.6,55.9,367,234.2,387.1,93.9,5.06691,1104.24,172.4,115.1841,15.29,42.1,681.8
9/30/2004,4.78,787410,351,41,-0.722674,69.6,47.4,54.1,336.4,213.9,362,89.7,4.94626,1114.58,151.2,114.712,13.34,49.6,618.8
11/30/2004,4.91,810970,335,48,-0.730966,63.8,44.5,51.4,274.9,175,298,84,4.32395,1173.82,135,110.2266,13.24,49.1,498.6
12/31/2004,4.66,811962,356,40.438,-0.744981,60.7,42.6,49.5,265.3,176.7,285.5,80.4,3.70212,1211.92,115.1,109.0097,13.29,43.5,474.3
1/31/2005,4.58,808012,331,47,-0.711704,60.2,43.7,49.7,283.6,183,301.4,81.1,2.56358,1181.27,85.4,109.5752,12.82,48.2,492.5
